NAICS,FM,PATH
112112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112120,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112130,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112310,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
321999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112330,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311330,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112340,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112390,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112410,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112420,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322130,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112511,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112512,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112910,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112920,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
221111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
112930,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311340,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
221112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
221113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
113210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311411,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
221119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
113310,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322213,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311421,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
115111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322214,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
115112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
115113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
115114,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
115210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311422,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
211111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322222,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322223,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311511,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322224,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311512,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322225,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322226,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311513,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322231,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322232,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322233,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322291,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
322299,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311514,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323114,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323115,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323116,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323117,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
324110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311611,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
211112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
212111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
324121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
114119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
324122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
324191,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311612,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311613,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325120,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325131,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
114111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
212210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325132,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
212221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311615,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325181,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325182,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325188,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315234,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311712,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315239,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325191,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325192,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311812,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325193,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325199,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311813,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311821,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315291,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325311,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325312,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325314,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325411,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325412,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325413,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325510,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311822,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325520,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325612,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325613,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315299,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311823,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325620,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325910,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311830,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315993,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325920,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311911,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316213,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
325998,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311919,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316214,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311920,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326130,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326140,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326150,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311930,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326160,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311941,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311942,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326191,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326192,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312120,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312130,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312140,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
326220,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
312221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327124,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316219,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
311213,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
316999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
321113,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333313,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333314,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333315,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333319,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333411,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333412,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333511,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336321,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327125,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333512,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333513,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336322,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313222,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313230,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333514,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335911,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327213,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333515,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333516,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327310,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333518,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333612,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313241,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333613,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336330,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313249,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327320,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333618,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313311,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333911,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333912,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333913,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333921,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333922,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333923,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327331,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313312,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
339943,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333993,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333995,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
333996,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
313320,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334290,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327332,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336340,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327390,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336350,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314129,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314911,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314912,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334310,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327410,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334411,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334412,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336360,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
314992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334414,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334415,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315191,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315192,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336370,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315222,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
323119,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327420,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334416,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315223,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334417,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334419,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334510,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336391,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315224,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336399,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315225,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336411,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315228,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315232,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334511,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
315233,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336412,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327993,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334512,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334513,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334514,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334516,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334517,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334518,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331419,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334519,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336413,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
327999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331421,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334612,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
334613,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335122,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335129,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336414,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336415,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331422,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331210,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336419,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336510,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331221,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335222,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335224,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335228,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336611,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331423,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331311,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335311,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331492,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331512,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331513,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331521,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335312,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331522,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331524,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331312,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331525,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335313,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331528,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332111,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332112,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332114,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332115,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332116,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332117,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332212,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332213,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332214,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335314,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335912,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
335921,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336991,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336992,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
336999,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337110,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337121,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337124,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337125,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337129,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332312,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332313,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337211,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337214,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
331314,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332321,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332322,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332323,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337215,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332420,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337910,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
337920,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
339115,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
339116,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
339911,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332431,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332510,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
332611,"manufacturing, assembly, and production","activities with labor>production>manufacturing, assembly, and production"
